127.0.0.1 - - [27/Dec/2021:16:47:57 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:47:58 +0530] "GET /proj4/ HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:47:58 +0530] "GET /proj4/img/Logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:47:58 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:47:59 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:47:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:01 +0530] "GET /proj4/LoginCtl HTTP/1.1" 200 3267
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:01 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:06 +0530] "POST /proj4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:06 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:12 +0530] "GET /proj4/ctl/GetMarksheetCtl HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:12 +0530] "GET /proj4/img/404.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:20 +0530] "GET /proj4/ctl/UserCtl HTTP/1.1" 200 9203
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:48:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:04 +0530] "POST /proj4/ctl/UserCtl HTTP/1.1" 200 9349
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:41 +0530] "POST /proj4/ctl/UserCtl HTTP/1.1" 200 9203
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:46 +0530] "GET /proj4/ctl/UserListCtl HTTP/1.1" 200 6879
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:46 +0530] "GET /proj4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:46 +0530] "GET /proj4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:46 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:54 +0530] "GET /proj4/ctl/UserListCtl HTTP/1.1" 200 6879
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:55 +0530] "GET /proj4/ctl/UserCtl HTTP/1.1" 200 9203
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:49:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:51:20 +0530] "POST /proj4/ctl/UserCtl HTTP/1.1" 200 9353
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:51:20 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [27/Dec/2021:16:51:21 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
