127.0.0.1 - - [09/Jan/2022:18:54:14 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:14 +0530] "GET /proj4/ HTTP/1.1" 200 300
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:14 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:26 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 1963
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:31 +0530] "GET /proj4/LoginCtl HTTP/1.1" 200 3145
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:31 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:34 +0530] "POST /proj4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:34 +0530] "GET /proj4/WelcomeCtl HTTP/1.1" 200 3843
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/overview-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/allclasses-frame.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/overview-summary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/stylesheet.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:54:58 +0530] "GET /proj4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:55:02 +0530] "GET /proj4/doc/in/co/sunrays/controller/package-summary.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:18:55:02 +0530] "GET /proj4/doc/resources/fonts/dejavu.css HTTP/1.1" 404 954
0:0:0:0:0:0:0:1 - - [09/Jan/2022:19:25:37 +0530] "GET /proj4/ctl/ChangePasswordCtl HTTP/1.1" 200 3298
